Date Published,Product Title,Advisory Title,Category,Post Link,
20 May 2021,VITAMIN E WATER CANDY TINT,FDA Advisory No.2021-0978 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic VITAMIN E WATER CANDY TINT,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-0978-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-vitamin-e-water-candy-tint/,
20 May 2021,LOVALI HAND SANITIZER – ALOE VERA,FDA Advisory No.2021-0977 || Against the Purchase and Use of Unauthorized Cosmetic LOVALI HAND SANITIZER – ALOE VERA,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-0977-against-the-purchase-and-use-of-unauthorized-cosmetic-lovali-hand-sanitizer-aloe-vera/,
19 May 2021,IBELLE ACCESSORIES EYELASH GLUE NATURAL RUBBER LATEX,FDA Advisory No.2021-0976 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic IBELLE ACCESSORIES EYELASH GLUE NATURAL RUBBER LATEX,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-0976-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-ibelle-accessories-eyelash-glue-natural-rubber-latex/,
19 May 2021,AIBOR EYELASH GLUE DIAMOND (11),FDA Advisory No.2021-0975 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic AIBOR EYELASH GLUE DIAMOND (11),Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-0975-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-aibor-eyelash-glue-diamond-11/,
19 May 2021,CHARMS FLUFFY STUFF COTTON CANDY FLAVORED LP BALM,FDA Advisory No.2021-0966 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic CHARMS FLUFFY STUFF COTTON CANDY FLAVORED LP BALM,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-0966-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-charms-fluffy-stuff-cotton-candy-flavored-lp-balm/,
19 May 2021,NONI SOAP,FDA Advisory No.2021-0965 || Public Health Warning Against the Purchase and Use of the Non-Compliant Cosmetic Product ” NONI SOAP “,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-0965-public-health-warning-against-the-purchase-and-use-of-the-non-compliant-cosmetic-product-noni-soap/,
19 May 2021,3CE SASIMI MATTE,FDA Advisory No.2021-0934 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic 3CE SASIMI MATTE,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-0934-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-3ce-sasimi-matte/,
19 May 2021,CALAMANSI SOAP,FDA Advisory No.2021-0967 || Public Health Warning Against the Purchase and Use of the Non-Compliant Cosmetic Product ” CALAMANSI SOAP “,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-0967-public-health-warning-against-the-purchase-and-use-of-the-non-compliant-cosmetic-product-calamansi-soap/,
19 May 2021,MAKEUP STICK MULTIFUNCTION,FDA Advisory No.2021-0964 || Public Health Warning Against the Purchase and Use of the Non-Compliant Cosmetic Product ” MAKEUP STICK MULTIFUNCTION “,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-0964-public-health-warning-against-the-purchase-and-use-of-the-non-compliant-cosmetic-product-makeup-stick-multifunction/,
19 May 2021,SUTLA BLEACHING SOAP,FDA Advisory No.2021-0963 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic SUTLA BLEACHING SOAP,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-0963-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-sutla-bleaching-soap/,
19 May 2021,JIALIQI CC CREAM WATER SENSITIVE HYDRATING COLOR CORRECTOR – 02 (JI-8006 ),FDA Advisory No.2021-0962 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic JIALIQI CC CREAM WATER SENSITIVE HYDRATING COLOR CORRECTOR – 02 (JI-8006 ),Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-0962-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-jialiqi-cc-cream-water-sensitive-hydrating-color-corrector-02-ji-8006/,
18 May 2021,YOURS NAIL POLISH REMOVER,FDA Advisory No.2021-0961 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic YOURS NAIL POLISH REMOVER,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-0961-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-yours-nail-polish-remover/,
18 May 2021,TASTE BEAUTY FLAVORED LIP BALM (ICE COLD BERRY SPLASH),FDA Advisory No.2021-0960 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic TASTE BEAUTY FLAVORED LIP BALM (ICE COLD BERRY SPLASH),Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-0960-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-taste-beauty-flavored-lip-balm-ice-cold-berry-splash/,
18 May 2021,JIALIQI CC CREAM SPF 30+ FLAWLESSLY COVER AND CORRECT (01),FDA Advisory No.2021-0959 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic JIALIQI CC CREAM SPF 30+ FLAWLESSLY COVER AND CORRECT (01),Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-0959-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-jialiqi-cc-cream-spf-30-flawlessly-cover-and-correct-01/,
